x,y
214.98279058,762.690363244
1222.03939036,229.562123165
792.696139347,404.54195831
1042.54875636,709.851016022
150.175338839,25.5127288698
1337.22416627,389.490361115
1219.64813193,1.895448016
712.619510488,649.386029107
366.019554033,850.743625999
1442.28393218,27.5309847302
40.7133775895,487.271225514
1502.63866045,343.083813919
346.559035409,379.904918024
46.4652601198,199.522499646
700.620149841,446.231017244
372.935120412,207.779887387
350.04965974,413.643119164
463.650583345,19.3407347393
1340.12476106,500.808890387
1027.67098069,167.315639305
1588.06945948,773.951875916
193.423935689,299.425666824
1154.37505213,640.072592726
1498.30493888,379.896299965
1328.05710924,603.275009773
485.389617493,528.822545529
1411.96640133,761.577676585
808.454112927,530.102032184
55.2413282421,218.465976189
1275.84679609,372.882599371
276.811842526,493.918885249
1124.86521931,607.037247452
599.524832803,395.06546704
813.4823812,700.5983535
833.501468181,353.929585468
783.50963274,26.6174675702
69.5796645704,633.043879743
1573.1003477,533.865357342
629.759498205,153.31427717
803.581693494,883.868973785
1232.83702373,485.655703605
1376.46364627,208.958515257
822.0346611,857.220649441
924.471692482,413.21855872
430.847163906,493.19667852
1531.38605034,5.13821650535
1253.84837218,738.437320733
1417.88732932,666.45307065
1294.6238414,466.810455171
898.172583645,383.481611719
89.7972760332,783.009139659
911.998934202,179.855478159
807.552747886,436.432601005
570.863943272,311.470127116
861.566073181,561.140507518
979.923943652,412.33212009
44.7599745341,206.644528149
283.538014302,526.014783701
1377.61417737,718.59504652
1275.35610022,734.793633505
408.47046414,757.570349047
1076.9816407,74.9107240235
26.7050081849,13.1039774323
1208.9388404,224.603303088
175.181803671,562.321875737
551.076582554,62.5638406778
255.40083951,474.642359143
269.031913956,245.622993137
1138.5438835,409.231467041
515.20282622,426.393912753
37.8153242112,347.901394285
673.469886735,169.235374276
174.018707913,809.83665032
816.185569486,188.181893297
969.037824054,735.33570154
33.3089736149,16.078068745
234.338784639,646.951925486
256.364148208,634.145065067
1085.08127244,490.231947221
352.959596836,878.035066036
1276.49737233,464.939565254
357.113248395,583.655776289
631.836815773,518.261366509
513.993294952,567.853075144
94.0561859304,268.745354661
1548.64529624,787.980819812
490.218592533,772.662965721
496.581803765,845.359588922
1190.14738987,374.555036489
403.772963648,7.6322362173
1405.94863713,34.1248775387
1311.06257698,865.981012663
912.448912392,154.36538566
1388.4497031,876.397712544
1126.43702773,457.98637147
604.75013495,312.237796106
329.218811672,606.737712822
692.720193761,174.706780487
167.078756546,599.361775451
473.716276933,449.819930013
520.553047802,784.459356681
1439.48523142,16.2836852764
321.364818305,294.966634587
1579.27954868,704.430338156
542.553036561,191.726816743
1079.12811156,753.930963139
1491.49995503,309.464833312
1411.82912395,618.399163938
775.19795618,886.957406843
375.424695794,652.918667617
135.488368666,152.724727615
1457.58045361,191.671375492
1214.58589235,540.187947119
1345.81151313,331.297199465
544.456376003,262.09375867
1387.87171774,543.584276003
1526.89193148,798.538594245
216.553563833,496.053426662
166.839996823,35.2240187372
117.109470132,779.55152163
1260.98631796,745.655374322
545.435942587,553.667429303
1251.04576261,340.235665955
913.250440958,201.342665474
130.789219764,240.051278684
1425.22900457,508.002149916
1480.10752337,411.992333137
443.492425772,708.313197204
